Parameters,Value,notes
population ,,
pop,"100,000",hypothetical cohort total population
india_pop,"1,463,900,000",
target_pop,"70,000,000",target population for final outputs (Tamil Nadu approximation)
population per income quintile,,
pop_1,"20,000",
pop_2,"20,000",
pop_3,"20,000",
pop_4,"20,000",
pop_5,"20,000",
population urban rural,,
pop_u,"65,000",
pop_r,"35,000",
prevalence of DR per quintile,,
dr_1,0.011865325,
dr_2,0.013617175,
dr_3,0.01575655,
dr_4,0.0182512,
dr_5,0.0202993,
prevalence of DR urban rural,,
dr_u,0.019475875,
dr_r,0.014590825,
VTDR cases among DR cases per quintile,,cases of VTDR among DR per quintile
vtdr_dr_1,0.310118686,
vtdr_dr_2,0.313856655,
vtdr_dr_3,0.317142141,
vtdr_dr_4,0.319807136,
vtdr_dr_5,0.322454272,
VTDR cases among DR cases urban rural,,
vtdr_dr_u,0.320807409,
vtdr_dr_r,0.315864182,
VTDR progression reduction factor dur to intervention,,60% of reduction of DR progress into VTDR
vtdr_reduction,0.6,
screening coverage,,
cov_b,0.1,baseline screening coverage 
cov_inv,0.75,intervention screening coverage
primary care utilization per quintile,,NFHS-5
pcu_1,0.365,
pcu_2,0.337,
pcu_3,0.291,
pcu_4,0.209,
pcu_5,0.094,
primary care utilization urban rural,,
pcu_u,12.6,
pcu_r,32.7,
sensitivty (usual care),,
sens_b,1,sensitivity of test during usual care
sensitivty(intervention),,
sens_inv,0.89,sensitivity of AI supported screening
loss to follow up at referral ,,
lfu_referral,0.44,
loss to follow up at treatment,,
lfu_treat,0.275,
efectiveness of treatment,,
eff_blind,0.058,risk VTDR to blindness reduced due to treatment
direct medical oop cost per quintile (DR),,DR treatment OOP (INR)
oop_med_dr_1,8495,
oop_med_dr_2,8495,
oop_med_dr_3,8495,
oop_med_dr_4,8495,
oop_med_dr_5,8495,
direct medical oop cost urban/rural (DR),,
oop_med_dr_u,8495,
oop_med_dr_r,8495,
direct medical oop cost per quintile (VTDR),,VTDR treatment OOP (INR)
oop_med_vtdr_1,14562,
oop_med_vtdr_2,14562,
oop_med_vtdr_3,14562,
oop_med_vtdr_4,14562,
oop_med_vtdr_5,14562,
direct medical oop cost urban/rural (VTDR),,
oop_med_vtdr_u,14562,
oop_med_vtdr_r,14562,
Direct nonmedical oop cost per quintile (DR),,
oop_nonmed_dr_1,4763,
oop_nonmed_dr_2,4938,
oop_nonmed_dr_3,4649,
oop_nonmed_dr_4,4742,
oop_nonmed_dr_5,5989,
Direct nonmedical oop cost urban/rural (DR),,
oop_nonmed_dr_u,4063,
oop_nonmed_dr_r,5970,
Direct nonmedical oop cost per quintile (VTDR),,
oop_nonmed_vtdr_1,7387,
oop_nonmed_vtdr_2,7659,
oop_nonmed_vtdr_3,7211,
oop_nonmed_vtdr_4,7355,
oop_nonmed_vtdr_5,9290,
Direct nonmedical oop cost urban/rural (VTDR),,
oop_nonmed_vtdr_u,6302,
oop_nonmed_vtdr_r,9259,
insurance coverage urban/rural,,
ins_cov_u,0.381,
ins_cov_r,0.424,
insurance coverage per wealth quintile,,
ins_cov_1,0.361,
ins_cov_2,0.420,
ins_cov_3,0.441,
ins_cov_4,0.422,
ins_cov_5,0.408,
coverage_med_dr_insured,0.50,
coverage_med_vtdr_insured,0.70,
MPCE (consumption) per quintile ,,
mcpe_1,2699,
mcpe_2,3832,
mcpe_3,4830,
mcpe_4,6185,
mcpe_5,10250,
MPCE (consumption) urban/rural,,
mcpe_u,6996,
mcpe_r,4122,
catastrophic ,,
th1,0.1,
th2,0.25,
pov,350,
,,
hh_size_rural,4.411239,
hh_size_urban,3.708483,
rural_urban_pop_ ratio,2.3548096,
rural_urban_hh_ratio,1.9796641,
,,
MPCE fractile shares,,
frac_share_0_5,0.05,
frac_share_5_10,0.05,
frac_share_10_20,0.1,
frac_share_20_30,0.1,
frac_share_30_40,0.1,
frac_share_40_50,0.1,
frac_share_50_60,0.1,
frac_share_60_70,0.1,
frac_share_70_80,0.1,
frac_share_80_90,0.1,
frac_share_90_95,0.05,
frac_share_95_100,0.05,
Rural MPCE by fractile class 2023-24,,
mpce_r_0_5,1677,
mpce_r_5_10,2126,
mpce_r_10_20,2473,
mpce_r_20_30,2833,
mpce_r_30_40,3162,
mpce_r_40_50,3498,
mpce_r_50_60,3866,
mpce_r_60_70,4304,
mpce_r_70_80,4885,
mpce_r_80_90,5763,
mpce_r_90_95,6929,
mpce_r_95_100,10137,
Urban MPCE by fractile class 2023-24,,
mpce_u_0_5,2376,
mpce_u_5_10,3093,
mpce_u_10_20,3687,
mpce_u_20_30,4353,
mpce_u_30_40,4979,
mpce_u_40_50,5622,
mpce_u_50_60,6334,
mpce_u_60_70,7199,
mpce_u_70_80,8353,
mpce_u_80_90,10139,
mpce_u_90_95,12817,
mpce_u_95_100,20310,
